time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/01/19/22:13:10.977711,671,1611074590,977259492,world,0.241951823235,1.03789365292,0.707189023495,0.0529040321708,0.0309396311641,-0.112776860595,0.991728425026
2021/01/19/22:13:10.997715,672,1611074590,997256178,world,0.24660654366,1.03580272198,0.707064568996,0.0513814464211,0.0306839458644,-0.117632426322,0.991252303123
2021/01/19/22:13:11.007667,673,1611074591,7268344,world,0.250425338745,1.03378021717,0.707613170147,0.0500398613513,0.027903560549,-0.120511703193,0.991057157516
2021/01/19/22:13:11.027652,674,1611074591,27246437,world,0.254801154137,1.03139352798,0.708075940609,0.0549047924578,0.0236025992781,-0.12319521606,0.990581333637
2021/01/19/22:13:11.047645,675,1611074591,47247252,world,0.260441511869,1.02884936333,0.707931101322,0.0509257465601,0.0273087024689,-0.126975864172,0.990221202374
2021/01/19/22:13:11.057650,676,1611074591,57264196,world,0.265527933836,1.02632009983,0.707602322102,0.047946497798,0.0293957348913,-0.131167396903,0.98976367712
2021/01/19/22:13:11.077664,677,1611074591,77254066,world,0.270065665245,1.02322530746,0.707631468773,0.0518015809357,0.0249384604394,-0.134917631745,0.989187479019
2021/01/19/22:13:11.097712,678,1611074591,97256363,world,0.274987727404,1.02019262314,0.708412647247,0.0553355775774,0.0251936689019,-0.138072639704,0.988554179668
2021/01/19/22:13:11.107681,679,1611074591,107291400,world,0.279935926199,1.01757788658,0.708179116249,0.0487131625414,0.0274702012539,-0.141497626901,0.988357663155
2021/01/19/22:13:11.127686,680,1611074591,127248640,world,0.285379290581,1.01465690136,0.708013951778,0.0499634072185,0.0242153741419,-0.14534163475,0.987822413445
